Geography,ACS2012,ACS2012moe,ACS2017,ACS2017moe
9001,4662,237,4618,280
9002,4767,237,4681,278
9011,7934,22,7827,21
9022,1690,132,1639,117
9025,4231,22,4184,36
9031,7339,277,6973,213
9032,2223,273,2422,207
9041,7565,356,7227,473
9044,3853,280,4205,382
9045,5927,323,5728,487
9051,8180,17,8232,20
9061,5111,25,5074,17
9071,4693,377,4728,342
9072,5362,359,5391,376
9073,5303,452,5019,390
9081,3786,24,3748,16
